generation,task_id,reward_basis,reward,passed,db_match,actions_matched,actions_total,writes_matched,writes_total,partial_action_reward,kb_search_calls,discoverable_ops,transfers,messages,cost_usd,duration_seconds
generation_000,task_017,DB,1,true,true,3,4,3,3,0.75,8,2,0,51,0.4552,133.5221
generation_000,task_035,ACTION,1,true,,3,3,1,1,1,1,2,1,12,0.066,26.6559
generation_000,task_036,DB,1,true,true,3,3,2,2,1,1,2,0,27,0.2063,71.6374
generation_000,task_048,DB,0,false,false,15,24,11,16,0.625,4,15,0,69,0.51,154.3582
generation_000,task_051,DB,0,false,false,17,20,9,11,0.85,6,18,0,69,0.5598,145.2416
generation_000,task_067,DB,0,false,false,5,9,2,6,0.5556,22,6,1,80,1.5837,315.187
generation_000,task_091,DB,0,false,false,22,25,15,18,0.88,10,22,1,94,1.6711,458.1528
generation_000,task_099,DB,0,false,false,2,5,1,3,0.4,2,0,0,18,0.134,58.8281
generation_001,task_017,DB,0,false,false,3,4,3,3,0.75,4,2,0,45,0.2958,92.4393
generation_001,task_035,ACTION,1,true,,3,3,1,1,1,1,2,1,12,0.0824,29.2055
generation_001,task_036,DB,1,true,true,3,3,2,2,1,2,3,0,32,0.2878,94.8441
generation_001,task_048,DB,0,false,false,13,24,8,16,0.5417,9,14,0,84,0.6724,169.883
generation_001,task_051,DB,1,true,true,19,20,10,11,0.95,6,20,0,75,0.6083,155.2463
generation_001,task_067,DB,0,false,false,5,9,2,6,0.5556,20,6,0,75,1.2611,235.9445
generation_001,task_091,DB,0,false,false,15,25,11,18,0.6,3,14,1,54,0.6303,242.3782
generation_001,task_099,DB,0,false,false,2,5,1,3,0.4,2,0,0,22,0.162,72.8681
generation_002,task_017,DB,0,false,false,1,4,1,3,0.25,9,3,0,57,0.4767,113.0231
generation_002,task_035,ACTION,1,true,,3,3,1,1,1,1,2,1,14,0.095,32.7325
generation_002,task_036,DB,0,false,false,3,3,2,2,1,2,5,0,35,0.3043,114.0666
generation_002,task_048,DB,0,false,false,12,24,8,16,0.5,6,13,0,71,0.5852,168.2802
generation_002,task_051,DB,1,true,true,20,20,11,11,1,5,20,0,74,0.5783,166.1075
generation_002,task_067,DB,0,false,false,5,9,2,6,0.5556,29,6,0,85,1.7742,271.7837
generation_002,task_091,DB,0,false,false,18,25,12,18,0.72,6,21,0,72,1.0276,388.9229
generation_002,task_099,DB,0,false,false,3,5,2,3,0.6,5,0,0,25,0.2602,107.3267
generation_003,task_017,DB,0,false,false,3,4,3,3,0.75,12,3,0,63,0.7137,170.7175
generation_003,task_035,ACTION,1,true,,3,3,1,1,1,1,2,1,12,0.0816,26.3931
generation_003,task_036,DB,0,false,false,3,3,2,2,1,2,7,0,44,0.374,118.5018
generation_003,task_048,DB,0,false,false,15,24,10,16,0.625,8,16,0,77,0.6722,182.3675
generation_003,task_051,DB,1,true,true,19,20,10,11,0.95,5,20,0,75,0.5785,168.8728
generation_003,task_067,DB,0,false,false,5,9,2,6,0.5556,28,8,0,93,2.0691,388.2032
generation_003,task_091,DB,0,false,false,21,25,14,18,0.84,6,23,0,69,0.9756,415.4872
generation_003,task_099,DB,0,false,false,2,5,1,3,0.4,3,0,0,22,0.1702,78.7249
