generation,task_id,reward_basis,reward,passed,db_match,actions_matched,actions_total,writes_matched,writes_total,partial_action_reward,kb_search_calls,discoverable_ops,transfers,messages,cost_usd,duration_seconds
generation_000,task_007,DB,1,true,true,1,1,1,1,1,2,0,0,12,0.0044,14.861
generation_000,task_012,ACTION,1,true,,1,1,0,0,1,2,0,1,12,0.0035,21.1363
generation_000,task_016,DB,1,true,true,2,2,2,2,1,4,0,0,32,0.0112,57.083
generation_000,task_018,DB,0,false,false,1,8,1,7,0.125,6,13,0,79,0.0282,96.3677
generation_000,task_019,DB,0,false,false,1,6,1,5,0.1667,3,0,0,21,0.0074,35.0718
generation_000,task_021,DB,0,false,false,1,4,1,3,0.25,3,5,0,50,0.0139,65.658
generation_000,task_022,DB,0,false,false,1,12,1,11,0.0833,3,7,0,63,0.0211,81.3203
generation_000,task_025,DB,0,false,false,0,1,0,1,0,3,0,0,16,0.0084,36.5129
generation_000,task_031,DB,1,true,true,2,5,1,3,0.4,2,3,0,35,0.0131,47.7397
generation_000,task_033,ACTION,0,false,,2,5,1,2,0.4,2,2,0,16,0.0058,31.0643
generation_000,task_039,DB,0,false,false,3,16,1,12,0.1875,2,13,0,48,0.0226,64.5659
generation_000,task_044,DB,0,false,false,4,10,1,6,0.4,3,8,0,38,0.0117,45
generation_000,task_049,DB,0,false,false,6,19,1,12,0.3158,5,20,1,87,0.0365,113.6382
generation_000,task_052,DB,1,true,true,7,13,1,7,0.5385,6,12,0,58,0.0245,67.7317
generation_000,task_059,DB,0,false,false,3,6,1,4,0.5,17,4,0,51,0.0434,61.913
generation_000,task_068,DB,0,false,false,4,7,2,5,0.5714,15,8,0,60,0.0439,72.7302
generation_000,task_073,DB,0,false,false,4,11,1,8,0.3636,4,10,0,41,0.0183,45.387
generation_000,task_075,DB,1,true,true,2,3,1,2,0.6667,7,4,0,40,0.0259,58.2929
generation_000,task_078,DB,0,false,false,6,22,1,14,0.2727,3,14,0,39,0.0139,33.1264
generation_000,task_084,DB,0,false,false,6,17,1,11,0.3529,2,14,0,66,0.0268,106.0769
generation_000,task_085,DB,0,false,false,5,13,1,9,0.3846,5,12,0,59,0.0293,84.0982
generation_000,task_086,DB,0,false,false,7,21,1,14,0.3333,4,18,0,68,0.0422,187.994
generation_000,task_092,DB,0,false,false,6,21,1,14,0.2857,7,17,1,76,0.045,107.9803
generation_000,task_093,DB,0,false,false,3,9,1,5,0.3333,9,4,1,52,0.0278,76.3686
generation_000,task_095,DB,0,false,false,5,9,1,5,0.5556,4,8,0,33,0.0126,44.3231
generation_000,task_097,DB,0,false,false,5,18,1,14,0.2778,4,17,0,42,0.0127,46.4896
generation_000,task_098,DB,0,false,false,2,3,1,2,0.6667,2,0,0,17,0.0062,26.8284
generation_000,task_100,DB,0,false,false,1,4,1,3,0.25,4,0,0,24,0.0103,37.3129
generation_001,task_007,DB,0,false,false,0,1,0,1,0,3,0,0,10,0.0054,17.5809
generation_001,task_012,ACTION,1,true,,1,1,0,0,1,4,0,1,16,0.0067,20.2045
generation_001,task_016,DB,1,true,true,2,2,2,2,1,3,0,0,28,0.0093,42.8258
generation_001,task_018,DB,0,false,false,1,8,1,7,0.125,7,2,0,44,0.018,54.4813
generation_001,task_019,DB,0,false,false,1,6,1,5,0.1667,4,1,1,37,0.0126,56.6085
generation_001,task_021,DB,0,false,false,1,4,1,3,0.25,2,6,0,43,0.0105,46.341
generation_001,task_022,DB,0,false,false,1,12,1,11,0.0833,6,15,0,81,0.0327,87.3712
generation_001,task_025,DB,1,true,true,1,1,1,1,1,7,0,0,24,0.0161,45.0456
generation_001,task_031,DB,1,true,true,2,5,1,3,0.4,2,3,0,31,0.0122,45.5492
generation_001,task_033,ACTION,0,false,,2,5,1,2,0.4,2,2,0,20,0.0068,27.0599
generation_001,task_039,DB,0,false,false,3,16,1,12,0.1875,5,12,1,55,0.0308,81.8204
generation_001,task_044,DB,0,false,false,5,10,1,6,0.5,4,10,0,46,0.0173,47.4238
generation_001,task_049,DB,0,false,false,7,19,2,12,0.3684,5,23,0,90,0.0381,117.4122
generation_001,task_052,DB,1,true,true,7,13,1,7,0.5385,11,12,0,72,0.0409,89.6753
generation_001,task_059,DB,1,true,true,4,6,2,4,0.6667,14,4,0,47,0.0384,60.3222
generation_001,task_068,DB,0,false,false,3,7,1,5,0.4286,25,6,0,69,0.0656,91.1093
generation_001,task_073,DB,0,false,false,4,11,1,8,0.3636,8,9,0,48,0.0276,58.2693
generation_001,task_075,DB,1,true,true,2,3,1,2,0.6667,5,2,0,30,0.0166,45.5686
generation_001,task_078,DB,0,false,false,5,22,1,14,0.2273,5,13,0,45,0.0215,53.1174
generation_001,task_084,DB,0,false,false,6,17,1,11,0.3529,7,11,1,72,0.0387,106.9532
generation_001,task_085,DB,0,false,false,5,13,1,9,0.3846,4,13,0,61,0.0279,92.4942
generation_001,task_086,DB,0,false,false,5,21,1,14,0.2381,5,9,1,46,0.0264,79.1227
generation_001,task_092,DB,0,false,false,7,21,1,14,0.3333,7,18,1,78,0.045,113.4062
generation_001,task_093,DB,0,false,false,5,9,1,5,0.5556,5,8,0,37,0.012,41.8428
generation_001,task_095,DB,0,false,false,3,9,1,5,0.3333,4,4,0,28,0.0107,35.1139
generation_001,task_097,DB,0,false,false,3,18,1,14,0.1667,6,7,1,38,0.0156,44.9486
generation_001,task_098,DB,1,true,true,3,3,2,2,1,9,2,0,39,0.023,47.1185
generation_001,task_100,DB,0,false,false,1,4,1,3,0.25,4,0,0,28,0.0102,42.6774
generation_002,task_007,DB,0,false,false,0,1,0,1,0,3,0,0,12,0.0058,16.7043
generation_002,task_012,ACTION,1,true,,1,1,0,0,1,4,0,1,16,0.0067,22.8052
generation_002,task_016,DB,0,false,false,1,2,1,2,0.5,4,0,0,24,0.0087,42.5035
generation_002,task_018,DB,0,false,false,1,8,1,7,0.125,10,10,0,70,0.0335,84.4024
generation_002,task_019,DB,0,false,false,1,6,1,5,0.1667,3,1,0,27,0.0097,51.5232
generation_002,task_021,DB,1,true,true,1,4,1,3,0.25,3,7,0,47,0.013,56.847
generation_002,task_022,DB,0,false,false,1,12,1,11,0.0833,5,3,0,47,0.0201,74.3455
generation_002,task_025,DB,1,true,true,1,1,1,1,1,10,0,0,24,0.0177,39.0891
generation_002,task_031,DB,0,false,false,1,5,1,3,0.2,1,0,0,28,0.0104,50.2325
generation_002,task_033,ACTION,1,true,,5,5,2,2,1,2,4,1,24,0.0079,34.3758
generation_002,task_039,DB,0,false,false,3,16,1,12,0.1875,3,4,0,35,0.0189,56.0801
generation_002,task_044,DB,0,false,false,5,10,1,6,0.5,4,10,0,43,0.0149,56.1203
generation_002,task_049,DB,0,false,false,6,19,1,12,0.3158,5,17,1,85,0.0348,114.255
generation_002,task_052,DB,1,true,true,7,13,1,7,0.5385,11,12,0,67,0.0384,97.9992
generation_002,task_059,DB,0,false,false,3,6,1,4,0.5,27,4,0,64,0.0701,77.3943
generation_002,task_068,DB,0,false,false,1,7,1,5,0.1429,16,2,0,44,0.0353,64.1382
generation_002,task_073,DB,0,false,false,4,11,1,8,0.3636,6,10,0,47,0.0249,54.3141
generation_002,task_075,DB,0,false,false,2,3,1,2,0.6667,3,4,0,27,0.0113,25.3365
generation_002,task_078,DB,0,false,false,6,22,1,14,0.2727,4,12,0,42,0.0176,48.7414
generation_002,task_084,DB,0,false,false,7,17,1,11,0.4118,7,17,0,73,0.0457,112.6424
generation_002,task_085,DB,0,false,false,5,13,1,9,0.3846,3,13,0,62,0.0272,118.7276
generation_002,task_086,DB,0,false,false,6,21,1,14,0.2857,3,17,0,62,0.0328,104.0919
generation_002,task_092,DB,0,false,false,4,21,1,14,0.1905,3,12,1,40,0.0173,42.6892
generation_002,task_093,DB,0,false,false,3,9,1,5,0.3333,6,4,1,35,0.0136,42.0563
generation_002,task_095,DB,0,false,false,3,9,1,5,0.3333,7,4,1,40,0.02,51.8742
generation_002,task_097,DB,0,false,false,3,18,1,14,0.1667,22,7,0,53,0.0347,50.9968
generation_002,task_098,DB,0,false,false,1,3,0,2,0.3333,4,2,0,29,0.0106,37.3344
generation_002,task_100,DB,0,false,false,0,4,0,3,0,4,0,0,18,0.0087,32.3023
generation_003,task_007,DB,0,false,false,0,1,0,1,0,3,0,0,10,0.0054,13.4229
generation_003,task_012,ACTION,1,true,,1,1,0,0,1,4,0,1,18,0.0073,23.5414
generation_003,task_016,DB,0,false,false,1,2,1,2,0.5,3,0,0,24,0.0078,35.694
generation_003,task_018,DB,0,false,false,1,8,1,7,0.125,8,5,0,60,0.024,81.4444
generation_003,task_019,DB,1,true,true,1,6,1,5,0.1667,3,8,0,54,0.0145,67.1136
generation_003,task_021,DB,1,true,true,1,4,1,3,0.25,3,2,0,35,0.011,47.3607
generation_003,task_022,DB,0,false,false,1,12,1,11,0.0833,6,8,0,62,0.0271,79.7284
generation_003,task_025,DB,0,false,false,0,1,0,1,0,4,0,0,16,0.0088,32.2103
generation_003,task_031,DB,1,true,true,2,5,1,3,0.4,4,5,0,39,0.0184,45.6486
generation_003,task_033,ACTION,1,true,,5,5,2,2,1,2,4,1,32,0.0094,41.9453
generation_003,task_039,DB,0,false,false,3,16,1,12,0.1875,5,12,0,52,0.027,70.0968
generation_003,task_044,DB,0,false,false,5,10,1,6,0.5,6,10,0,43,0.0199,46.2598
generation_003,task_049,DB,0,false,false,8,19,2,12,0.4211,7,21,0,95,0.0476,132.737
generation_003,task_052,DB,0,false,false,6,13,0,7,0.4615,14,12,0,68,0.0489,78.1909
generation_003,task_059,DB,0,false,false,3,6,1,4,0.5,15,4,0,45,0.0343,53.1602
generation_003,task_068,DB,0,false,false,3,7,1,5,0.4286,15,9,1,62,0.0503,87.3924
generation_003,task_073,DB,0,false,false,3,11,0,8,0.2727,8,9,0,48,0.0281,51.0827
generation_003,task_075,DB,1,true,true,2,3,1,2,0.6667,9,4,0,37,0.0249,53.6846
generation_003,task_078,DB,0,false,false,5,22,1,14,0.2273,6,14,0,51,0.0251,57.8476
generation_003,task_084,DB,0,false,false,7,17,1,11,0.4118,6,17,0,73,0.0444,120.178
generation_003,task_085,DB,0,false,false,4,13,1,9,0.3077,5,6,0,41,0.021,60.9285
generation_003,task_086,DB,0,false,false,8,21,1,14,0.381,7,23,0,73,0.0468,106.0304
generation_003,task_092,DB,0,false,false,4,21,1,14,0.1905,5,12,1,48,0.0263,101.2745
generation_003,task_093,DB,0,false,false,5,9,1,5,0.5556,5,8,0,35,0.0133,49.3231
generation_003,task_095,DB,0,false,false,3,9,1,5,0.3333,6,4,1,41,0.0202,65.8604
generation_003,task_097,DB,0,false,false,3,18,1,14,0.1667,10,7,1,51,0.0256,68.6375
generation_003,task_098,DB,0,false,false,2,3,1,2,0.6667,6,0,0,29,0.014,43.2089
generation_003,task_100,DB,0,false,false,1,4,1,3,0.25,4,0,0,28,0.011,42.7964
generation_004,task_007,DB,1,true,true,1,1,1,1,1,5,0,0,18,0.0088,26.2011
generation_004,task_012,ACTION,1,true,,1,1,0,0,1,5,0,1,18,0.0076,22.9727
generation_004,task_016,DB,1,true,true,2,2,2,2,1,3,0,0,28,0.0088,44.413
generation_004,task_018,DB,0,false,false,1,8,1,7,0.125,6,0,1,33,0.015,55.5481
generation_004,task_019,DB,0,false,false,2,6,1,5,0.3333,4,2,0,43,0.0144,71.0124
generation_004,task_021,DB,0,false,false,2,4,1,3,0.5,4,4,0,49,0.0161,73.3002
generation_004,task_022,DB,0,false,false,2,12,1,11,0.1667,4,8,0,51,0.0172,66.6475
generation_004,task_025,DB,0,false,false,0,1,0,1,0,6,0,0,22,0.0126,42.1744
generation_004,task_031,DB,1,true,true,3,5,1,3,0.6,2,3,0,30,0.0112,46.5037
generation_004,task_033,ACTION,1,true,,5,5,2,2,1,1,4,1,24,0.0066,32.1287
generation_004,task_039,DB,0,false,false,4,16,1,12,0.25,2,5,0,38,0.016,65.0653
generation_004,task_044,DB,0,false,false,5,10,1,6,0.5,6,10,0,46,0.0203,55.2309
generation_004,task_049,DB,0,false,false,7,19,1,12,0.3684,8,22,1,91,0.0521,123.4696
generation_004,task_052,DB,1,true,true,7,13,1,7,0.5385,8,12,0,62,0.0302,75.0402
generation_004,task_059,DB,0,false,false,3,6,1,4,0.5,19,4,0,54,0.0484,74.2713
generation_004,task_068,DB,0,false,false,3,7,1,5,0.4286,14,9,0,61,0.042,86.0134
generation_004,task_073,DB,0,false,false,4,11,1,8,0.3636,13,10,0,53,0.041,60.0388
generation_004,task_075,DB,1,true,true,2,3,1,2,0.6667,7,4,0,36,0.0204,49.7888
generation_004,task_078,DB,0,false,false,5,22,1,14,0.2273,5,12,0,54,0.0257,67.6186
generation_004,task_084,DB,0,false,false,4,17,1,11,0.2353,4,8,1,47,0.0212,79.7236
generation_004,task_085,DB,0,false,false,5,13,1,9,0.3846,5,11,0,66,0.0361,113.4057
generation_004,task_086,DB,0,false,false,7,21,1,14,0.3333,7,17,1,138,0.082,236.9068
generation_004,task_092,DB,0,false,false,5,21,1,14,0.2381,5,15,1,61,0.0332,80.3833
generation_004,task_093,DB,0,false,false,5,9,1,5,0.5556,5,8,0,36,0.0119,42.9572
generation_004,task_095,DB,0,false,false,3,9,1,5,0.3333,7,4,1,40,0.0201,63.2697
generation_004,task_097,DB,0,false,false,4,18,1,14,0.2222,9,12,0,53,0.0271,74.9711
generation_004,task_098,DB,0,false,false,2,3,1,2,0.6667,3,0,0,20,0.0074,29.5762
generation_004,task_100,DB,0,false,false,1,4,1,3,0.25,4,0,0,27,0.0105,34.8945
generation_005,task_007,DB,0,false,false,0,1,0,1,0,4,0,0,16,0.0084,25.9583
generation_005,task_012,ACTION,0,false,,0,1,0,0,0,4,0,0,12,0.0049,14.323
generation_005,task_016,DB,0,false,false,1,2,1,2,0.5,3,0,0,19,0.0065,26.351
generation_005,task_018,DB,0,false,false,1,8,1,7,0.125,6,0,1,31,0.0138,43.6403
generation_005,task_019,DB,0,false,false,2,6,1,5,0.3333,3,1,0,29,0.0102,45.3032
generation_005,task_021,DB,1,true,true,2,4,1,3,0.5,3,2,0,37,0.0104,48.8492
generation_005,task_022,DB,0,false,false,2,12,1,11,0.1667,6,2,0,57,0.0257,84.0692
generation_005,task_025,DB,0,false,false,0,1,0,1,0,8,0,0,28,0.0175,54.2374
generation_005,task_031,DB,1,true,true,2,5,1,3,0.4,2,3,0,33,0.0137,46.1438
generation_005,task_033,ACTION,0,false,,2,5,1,2,0.4,1,2,0,12,0.004,23.8498
generation_005,task_039,DB,0,false,false,5,16,1,12,0.3125,5,14,0,57,0.0305,86.4166
generation_005,task_044,DB,0,false,false,5,10,1,6,0.5,4,10,0,42,0.0161,47.8859
generation_005,task_049,DB,0,false,false,3,19,1,12,0.1579,3,9,0,56,0.0194,82.0044
