task_id,H0,H1,H2,H3,H4,H5
task_007,1,0,0,0,1,0
task_012,1,1,1,1,1,0
task_016,1,1,0,0,1,0
task_018,0,0,0,0,0,0
task_019,0,0,0,1,0,0
task_021,0,0,1,1,0,1
task_022,0,0,0,0,0,0
task_025,0,1,1,0,0,0
task_031,1,1,0,1,1,1
task_033,0,0,1,1,1,0
task_039,0,0,0,0,0,0
task_044,0,0,0,0,0,0
task_049,0,0,0,0,0,0
task_052,1,1,1,0,1,0
task_059,0,1,0,0,0,0
task_068,0,0,0,0,0,0
task_073,0,0,0,0,0,0
task_075,1,1,0,1,1,1
task_078,0,0,0,0,0,0
task_084,0,0,0,0,0,0
task_085,0,0,0,0,0,0
task_086,0,0,0,0,0,0
task_092,0,0,0,0,0,0
task_093,0,0,0,0,0,1
task_095,0,0,0,0,0,0
task_097,0,0,0,0,0,0
task_098,0,1,0,0,0,0
task_100,0,0,0,0,0,0
