generation,task_id,reward_basis,reward,passed,db_match,actions_matched,actions_total,writes_matched,writes_total,partial_action_reward,kb_search_calls,discoverable_ops,transfers,messages,cost_usd,duration_seconds
generation_000,task_007,DB,1,true,true,1,1,1,1,1,2,0,0,12,0.005,18.326
generation_000,task_007,DB,0,false,false,0,1,0,1,0,3,0,0,10,0.0052,12.8442
generation_000,task_007,DB,1,true,true,1,1,1,1,1,5,0,0,14,0.0072,15.2535
generation_000,task_012,ACTION,1,true,,1,1,0,0,1,2,0,1,12,0.0037,14.3625
generation_000,task_012,ACTION,1,true,,1,1,0,0,1,3,0,1,14,0.0048,17.8016
generation_000,task_012,ACTION,0,false,,0,1,0,0,0,4,0,0,12,0.0053,16.6197
generation_000,task_016,DB,0,false,false,1,2,1,2,0.5,2,0,1,25,0.0068,29.9468
generation_000,task_016,DB,0,false,false,1,2,1,2,0.5,4,0,0,28,0.0098,41.1438
generation_000,task_016,DB,1,true,true,2,2,2,2,1,1,0,0,22,0.0056,30.4493
generation_000,task_018,DB,0,false,false,1,8,1,7,0.125,11,0,0,32,0.0175,41.8565
generation_000,task_018,DB,0,false,false,1,8,1,7,0.125,6,4,0,46,0.0187,54.2572
generation_000,task_018,DB,0,false,false,1,8,1,7,0.125,3,0,0,21,0.0081,30.5161
generation_000,task_019,DB,0,false,false,1,6,1,5,0.1667,2,5,0,42,0.0112,56.5016
generation_000,task_019,DB,1,true,true,1,6,1,5,0.1667,5,4,0,46,0.0151,57.3559
generation_000,task_019,DB,0,false,false,1,6,1,5,0.1667,3,1,0,31,0.01,44.8972
generation_000,task_021,DB,0,false,false,1,4,1,3,0.25,2,4,0,36,0.0095,45.4614
generation_000,task_021,DB,0,false,false,1,4,1,3,0.25,5,2,1,35,0.0136,46.4668
generation_000,task_021,DB,0,false,false,1,4,1,3,0.25,3,6,0,35,0.013,49.8133
generation_000,task_022,DB,0,false,false,1,12,1,11,0.0833,7,14,0,87,0.0356,102.306
generation_000,task_022,DB,0,false,false,1,12,1,11,0.0833,7,8,0,66,0.0269,76.3324
generation_000,task_022,DB,0,false,false,1,12,1,11,0.0833,5,0,0,25,0.013,42.1735
generation_000,task_025,DB,0,false,false,0,1,0,1,0,4,0,0,18,0.0108,31.5729
generation_000,task_025,DB,0,false,false,0,1,0,1,0,5,0,0,20,0.0107,36.6838
generation_000,task_025,DB,0,false,false,0,1,0,1,0,5,0,0,18,0.0109,27.7763
generation_000,task_031,DB,1,true,true,2,5,1,3,0.4,2,3,0,34,0.0128,41.2797
generation_000,task_031,DB,1,true,true,2,5,1,3,0.4,2,3,0,33,0.0116,39.3742
generation_000,task_031,DB,1,true,true,2,5,1,3,0.4,2,3,0,29,0.0113,31.8783
generation_000,task_033,ACTION,0,false,,2,5,1,2,0.4,2,2,0,18,0.0066,22.7442
generation_000,task_033,ACTION,1,true,,5,5,2,2,1,1,4,1,24,0.0055,29.7107
generation_000,task_033,ACTION,1,true,,5,5,2,2,1,2,4,1,26,0.0079,32.8628
generation_000,task_039,DB,0,false,false,2,16,1,12,0.125,4,3,0,37,0.0211,59.7195
generation_000,task_039,DB,0,false,false,1,16,1,12,0.0625,2,1,0,28,0.0139,48.1952
generation_000,task_039,DB,0,false,false,3,16,1,12,0.1875,4,12,0,52,0.027,73.8146
generation_000,task_044,DB,0,false,false,5,10,1,6,0.5,4,10,0,45,0.0162,48.8681
generation_000,task_044,DB,0,false,false,4,10,1,6,0.4,5,8,0,47,0.0166,48.8521
generation_000,task_044,DB,0,false,false,3,10,1,6,0.3,2,6,0,35,0.0087,35.2579
generation_000,task_049,DB,0,false,false,7,19,1,12,0.3684,6,21,1,82,0.0359,102.6947
