task_id,H0,H1,H2
task_007,2/3,1/3,3/3
task_012,2/3,2/3,2/3
task_016,1/3,3/3,0/3
task_018,0/3,0/3,0/3
task_019,1/3,1/3,1/3
task_021,0/3,0/3,1/3
task_022,0/3,0/3,0/3
task_025,0/3,0/3,0/3
task_031,3/3,2/3,2/3
task_033,2/3,1/3,3/3
task_039,0/3,0/3,0/3
task_044,0/3,0/3,0/3
task_049,1/3,0/3,0/3
task_052,1/3,3/3,1/3
task_059,0/3,0/3,0/3
task_068,0/3,0/3,0/3
task_073,0/3,0/3,0/3
task_075,0/3,0/3,0/3
task_078,0/3,0/3,0/3
task_084,0/3,0/3,0/3
task_085,0/3,0/3,0/3
task_086,0/3,0/3,0/3
task_092,0/3,0/3,0/3
task_093,2/3,0/3,1/3
task_095,0/3,0/3,1/3
task_097,1/3,0/3,0/3
task_098,0/3,0/3,1/3
task_100,0/3,0/3,0/3
