generation,task_id,reward_basis,reward,passed,db_match,actions_matched,actions_total,writes_matched,writes_total,partial_action_reward,kb_search_calls,discoverable_ops,transfers,messages,cost_usd,duration_seconds
batch_01,task_006,DB,1,true,true,1,1,1,1,1,4,0,0,14,0,25.3791
batch_01,task_006,DB,1,true,true,1,1,1,1,1,4,0,0,14,0,32.0983
batch_01,task_006,DB,1,true,true,1,1,1,1,1,2,0,0,12,0,28.4076
batch_01,task_014,ACTION,0,false,,0,1,0,0,0,2,0,0,14,0,34.0993
batch_01,task_014,ACTION,1,true,,1,1,0,0,1,4,0,1,18,0,35.198
batch_01,task_014,ACTION,0,false,,0,1,0,0,0,3,0,0,14,0,29.1501
batch_01,task_026,DB,0,false,false,1,11,1,9,0.0909,4,20,1,104,0,138.3172
batch_01,task_026,DB,0,false,false,1,11,1,9,0.0909,5,15,1,98,0,114.3813
batch_01,task_026,DB,0,false,false,1,11,1,9,0.0909,4,16,0,88,0,94.3682
batch_01,task_032,ACTION,1,true,,5,5,3,3,1,1,4,1,24,0,40.9364
batch_01,task_032,ACTION,1,true,,5,5,3,3,1,1,4,1,24,0,39.1623
batch_01,task_032,ACTION,1,true,,5,5,3,3,1,1,4,1,24,0,39.1187
batch_01,task_057,DB,0,false,false,3,7,1,4,0.4286,8,8,0,66,0,119.2815
batch_01,task_057,DB,0,false,false,3,7,1,4,0.4286,11,7,0,72,0,122.6162
batch_01,task_057,DB,0,false,false,3,7,1,4,0.4286,11,7,0,76,0,218.6775
batch_01,task_072,DB,0,false,false,4,9,1,6,0.4444,3,8,0,42,0,56.8938
batch_01,task_072,DB,0,false,false,4,9,1,6,0.4444,3,8,0,42,0,59.9987
batch_01,task_072,DB,0,false,false,4,9,1,6,0.4444,4,8,0,42,0,66.4634
batch_01,task_076,DB,1,true,true,2,3,1,2,0.6667,5,4,0,36,0,59.9555
batch_01,task_076,DB,1,true,true,2,3,1,2,0.6667,5,2,0,30,0,57.1812
batch_01,task_076,DB,1,true,true,2,3,1,2,0.6667,4,4,0,30,0,40.8261
batch_01,task_096,DB,0,false,false,3,12,1,8,0.25,9,5,1,50,0,101.3785
batch_01,task_096,DB,0,false,false,5,12,1,8,0.4167,10,10,1,66,0,127.2243
batch_01,task_096,DB,0,false,false,5,12,1,8,0.4167,9,9,1,60,0,109.5275
batch_02,task_006,DB,1,true,true,1,1,1,1,1,3,0,0,12,0,24.9177
batch_02,task_006,DB,1,true,true,1,1,1,1,1,1,0,0,8,0,17.9782
batch_02,task_006,DB,1,true,true,1,1,1,1,1,3,0,0,12,0,22.9377
batch_02,task_014,ACTION,1,true,,1,1,0,0,1,3,0,1,16,0,30.4062
batch_02,task_014,ACTION,0,false,,0,1,0,0,0,2,0,1,14,0,27.9424
batch_02,task_014,ACTION,0,false,,0,1,0,0,0,4,0,0,20,0,43.4561
