generation,task_id,reward_basis,reward,passed,db_match,actions_matched,actions_total,writes_matched,writes_total,partial_action_reward,kb_search_calls,discoverable_ops,transfers,messages,cost_usd,duration_seconds
generation_000,task_007,DB,1,true,true,1,1,1,1,1,7,0,0,22,0.0116,27.493
generation_000,task_007,DB,1,true,true,1,1,1,1,1,3,0,0,13,0.0058,18.3951
generation_000,task_007,DB,1,true,true,1,1,1,1,1,4,0,0,14,0.0073,19.4782
generation_000,task_012,ACTION,1,true,,1,1,0,0,1,4,0,1,16,0.0067,19.5228
generation_000,task_012,ACTION,1,true,,1,1,0,0,1,2,0,1,12,0.0035,15.3384
generation_000,task_012,ACTION,1,true,,1,1,0,0,1,2,0,1,12,0.0037,13.5559
generation_000,task_016,DB,0,false,false,1,2,1,2,0.5,4,0,0,29,0.0103,56.8076
generation_000,task_016,DB,0,false,false,1,2,1,2,0.5,3,0,1,28,0.0078,37.2898
generation_000,task_016,DB,1,true,true,2,2,2,2,1,1,0,0,20,0.0047,25.6805
generation_000,task_018,DB,0,false,false,1,8,1,7,0.125,6,5,0,54,0.0198,69.9931
generation_000,task_018,DB,0,false,false,1,8,1,7,0.125,9,2,1,37,0.019,63.8675
generation_000,task_018,DB,0,false,false,1,8,1,7,0.125,5,2,0,37,0.015,55.2948
generation_000,task_019,DB,0,false,false,1,6,1,5,0.1667,4,2,0,37,0.0125,60.8168
generation_000,task_019,DB,0,false,false,1,6,1,5,0.1667,5,4,0,38,0.0147,50.9779
generation_000,task_019,DB,1,true,true,1,6,1,5,0.1667,1,8,0,66,0.0142,81.0319
generation_000,task_021,DB,0,false,false,1,4,1,3,0.25,2,0,0,21,0.006,30.0465
generation_000,task_021,DB,0,false,false,1,4,1,3,0.25,3,6,0,45,0.0122,54.4006
generation_000,task_021,DB,0,false,false,1,4,1,3,0.25,3,7,0,53,0.0147,60.3198
generation_000,task_022,DB,0,false,false,1,12,1,11,0.0833,4,20,0,102,0.037,126.0663
generation_000,task_022,DB,0,false,false,1,12,1,11,0.0833,5,13,0,71,0.0257,94.3202
generation_000,task_022,DB,0,false,false,1,12,1,11,0.0833,5,27,0,123,0.0485,143.4611
generation_000,task_025,DB,0,false,false,0,1,0,1,0,8,0,0,25,0.0154,40.8288
generation_000,task_025,DB,0,false,false,0,1,0,1,0,5,0,0,20,0.0105,42.858
generation_000,task_025,DB,0,false,false,0,1,0,1,0,3,0,0,14,0.0062,29.7022
generation_000,task_031,DB,1,true,true,2,5,1,3,0.4,2,3,0,32,0.0118,41.1479
generation_000,task_031,DB,1,true,true,2,5,1,3,0.4,2,3,0,31,0.0106,40.8803
generation_000,task_031,DB,0,false,false,1,5,1,3,0.2,2,0,1,26,0.0106,38.4317
generation_000,task_033,ACTION,0,false,,2,5,1,2,0.4,2,2,0,18,0.0066,22.5507
generation_000,task_033,ACTION,0,false,,2,5,1,2,0.4,2,2,0,16,0.0055,20.5918
generation_000,task_033,ACTION,0,false,,2,5,1,2,0.4,3,2,0,22,0.0092,36.3142
generation_000,task_039,DB,0,false,false,3,16,1,12,0.1875,2,13,0,50,0.022,75.2648
generation_000,task_039,DB,0,false,false,3,16,1,12,0.1875,3,12,1,53,0.0242,71.5371
generation_000,task_039,DB,0,false,false,4,16,1,12,0.25,2,14,0,48,0.0205,65.9065
generation_000,task_044,DB,0,false,false,5,10,1,6,0.5,4,10,0,44,0.0163,49.1731
generation_000,task_044,DB,0,false,false,5,10,1,6,0.5,4,10,0,44,0.0168,43.6673
generation_000,task_044,DB,0,false,false,5,10,1,6,0.5,7,10,0,51,0.0237,59.9573
generation_000,task_049,DB,0,false,false,6,19,2,12,0.3158,5,17,0,94,0.0341,130.7817
