generation,tasks,passed,db_matched,db_basis_tasks,actions_matched,actions_total,action_match_pct,writes_matched,writes_total,write_match_pct,partial_action_reward_pct,kb_search_calls,discoverable_ops,transfers,messages_mean,cost_usd_mean
batch_01,36,20,13,27,76,147,51.7007,36,96,37.5,58.3969,209,107,14,37.2778,0
batch_02,36,20,13,27,71,147,48.2993,34,96,35.4167,56.9635,204,99,15,36.2222,0
batch_02_seam_incident,36,17,14,27,72,147,48.9796,37,96,38.5417,50.477,199,91,14,35.1667,0
batch_03,36,17,11,27,73,147,49.6599,34,96,35.4167,53.6694,311,110,14,41.5,0
batch_04,36,26,17,27,77,147,52.381,37,96,38.5417,67.295,313,98,19,42.0556,0
batch_05,36,19,15,27,73,147,49.6599,37,96,38.5417,51.408,337,112,14,43.5556,0
batch_06,36,22,14,27,70,147,47.619,35,96,36.4583,63.9779,444,90,18,48.6667,0
batch_07,36,23,15,27,76,147,51.7007,34,96,35.4167,58.1654,416,109,14,47.7222,0
batch_08,36,22,16,27,74,147,50.3401,33,96,34.375,53.4201,416,100,16,46.5,0
batch_09,36,24,17,27,69,147,46.9388,35,96,36.4583,57.5155,336,91,16,43.2778,0
