generation,task_id,reward_basis,reward,passed,db_match,actions_matched,actions_total,writes_matched,writes_total,partial_action_reward,kb_search_calls,discoverable_ops,transfers,messages,cost_usd,duration_seconds
batch_01,task_003,DB,0,false,false,0,1,0,1,0,2,0,0,10,0,20.3933
batch_01,task_003,DB,0,false,false,0,1,0,1,0,3,0,0,12,0,26.8683
batch_01,task_003,DB,0,false,false,0,1,0,1,0,5,0,0,16,0,33.4116
batch_01,task_005,DB,0,false,false,1,3,0,2,0.3333,2,0,2,26,0,52.976
batch_01,task_005,DB,1,true,true,3,3,2,2,1,1,0,1,30,0,61.2842
batch_01,task_005,DB,1,true,true,3,3,2,2,1,2,0,1,36,0,69.8655
batch_01,task_006,DB,1,true,true,1,1,1,1,1,3,0,0,14,0,29.7508
batch_01,task_006,DB,1,true,true,1,1,1,1,1,2,0,0,10,0,23.782
batch_01,task_006,DB,1,true,true,1,1,1,1,1,2,0,0,10,0,24.2696
batch_01,task_008,ACTION,1,true,,1,1,0,0,1,5,0,1,24,0,49.8602
batch_01,task_008,ACTION,1,true,,1,1,0,0,1,5,0,1,24,0,51.5357
batch_01,task_008,ACTION,1,true,,1,1,0,0,1,4,0,1,22,0,49.4162
batch_01,task_014,ACTION,1,true,,1,1,0,0,1,3,0,1,16,0,31.1924
batch_01,task_014,ACTION,0,false,,0,1,0,0,0,3,0,1,16,0,33.8009
batch_01,task_014,ACTION,0,false,,0,1,0,0,0,3,0,1,16,0,33.0052
batch_01,task_023,DB,0,false,false,1,2,1,2,0.5,2,0,0,24,0,45.6208
batch_01,task_023,DB,1,true,true,2,2,2,2,1,4,0,0,32,0,58.9651
batch_01,task_023,DB,0,false,false,1,2,1,2,0.5,3,0,1,28,0,59.6401
batch_01,task_032,ACTION,1,true,,5,5,3,3,1,1,4,1,24,0,43.8827
batch_01,task_032,ACTION,1,true,,5,5,3,3,1,1,4,1,24,0,39.4837
batch_01,task_032,ACTION,1,true,,5,5,3,3,1,1,4,1,24,0,41.3181
batch_01,task_055,DB,0,false,false,2,8,1,5,0.25,8,5,0,64,0,158.4012
batch_01,task_055,DB,0,false,false,3,8,1,5,0.375,11,10,0,84,0,173.5146
batch_01,task_055,DB,0,false,false,3,8,1,5,0.375,12,10,0,78,0,122.0707
batch_01,task_057,DB,0,false,false,3,7,1,4,0.4286,8,6,0,62,0,131.9689
batch_01,task_057,DB,1,true,true,3,7,1,4,0.4286,8,8,0,68,0,144.2437
batch_01,task_057,DB,1,true,true,3,7,1,4,0.4286,9,9,0,80,0,176.2284
batch_01,task_063,DB,0,false,false,1,4,1,3,0.25,20,0,0,56,0,92.2342
batch_01,task_063,DB,0,false,false,3,4,2,3,0.75,28,6,0,94,0,138.3536
batch_01,task_063,DB,0,false,false,1,4,1,3,0.25,20,0,0,54,0,87.5905
batch_01,task_076,DB,1,true,true,2,3,1,2,0.6667,4,4,0,32,0,66.7519
batch_01,task_076,DB,1,true,true,2,3,1,2,0.6667,3,4,0,30,0,53.7491
batch_01,task_076,DB,1,true,true,2,3,1,2,0.6667,3,2,0,24,0,55.0351
batch_01,task_089,DB,1,true,true,5,13,1,9,0.3846,7,10,0,64,0,143.681
batch_01,task_089,DB,0,false,false,5,13,1,9,0.3846,5,11,0,62,0,125.732
batch_01,task_089,DB,1,true,true,5,13,1,9,0.3846,6,10,0,52,0,109.0775
batch_02,task_003,DB,0,false,false,0,1,0,1,0,3,0,0,12,0,28.3175
batch_02,task_003,DB,0,false,false,0,1,0,1,0,5,0,0,16,0,26.8476
batch_02,task_003,DB,0,false,false,0,1,0,1,0,5,0,0,16,0,35.5691
batch_02,task_005,DB,1,true,true,3,3,2,2,1,2,0,1,32,0,57.2593
batch_02,task_005,DB,0,false,false,1,3,0,2,0.3333,1,0,2,24,0,48.4037
batch_02,task_005,DB,0,false,false,2,3,1,2,0.6667,2,0,1,28,0,54.67
batch_02,task_006,DB,1,true,true,1,1,1,1,1,2,0,0,12,0,27.6175
batch_02,task_006,DB,1,true,true,1,1,1,1,1,2,0,0,10,0,23.4147
batch_02,task_006,DB,1,true,true,1,1,1,1,1,1,0,0,10,0,22.6066
batch_02,task_008,ACTION,1,true,,1,1,0,0,1,5,0,1,22,0,46.0604
batch_02,task_008,ACTION,1,true,,1,1,0,0,1,5,0,1,24,0,69.5571
batch_02,task_008,ACTION,0,false,,0,1,0,0,0,5,0,1,34,0,86.1646
batch_02,task_014,ACTION,1,true,,1,1,0,0,1,3,0,1,16,0,32.7066
batch_02,task_014,ACTION,1,true,,1,1,0,0,1,3,0,1,16,0,31.0059
batch_02,task_014,ACTION,0,false,,0,1,0,0,0,2,0,1,14,0,33.0527
batch_02,task_023,DB,0,false,false,1,2,1,2,0.5,1,0,0,24,0,40.4807
batch_02,task_023,DB,0,false,false,1,2,1,2,0.5,3,0,0,30,0,54.4305
batch_02,task_023,DB,1,true,true,2,2,2,2,1,5,0,0,36,0,72.1779
