generation,task_id,reward_basis,reward,passed,db_match,actions_matched,actions_total,writes_matched,writes_total,partial_action_reward,kb_search_calls,discoverable_ops,transfers,messages,cost_usd,duration_seconds
generation_000,task_007,DB,0,false,false,0,1,0,1,0,3,0,0,12,0.0057,19.6837
generation_000,task_007,DB,1,true,true,1,1,1,1,1,2,0,0,10,0.0043,17.3477
generation_000,task_007,DB,1,true,true,1,1,1,1,1,5,0,0,20,0.0092,26.2028
generation_000,task_012,ACTION,1,true,,1,1,0,0,1,4,0,1,16,0.0059,21.5954
generation_000,task_012,ACTION,0,false,,0,1,0,0,0,2,0,0,8,0.0033,10.7304
generation_000,task_012,ACTION,0,false,,0,1,0,0,0,4,0,0,12,0.0052,15.0286
generation_000,task_016,DB,0,false,false,1,2,1,2,0.5,2,0,0,23,0.0065,35.5442
generation_000,task_016,DB,1,true,true,2,2,2,2,1,4,0,0,27,0.0097,48.4941
generation_000,task_016,DB,1,true,true,2,2,2,2,1,2,0,0,27,0.0072,38.8132
generation_000,task_017,DB,0,false,false,1,4,1,3,0.25,3,6,0,46,0.0108,63.3598
generation_000,task_017,DB,1,true,true,1,4,1,3,0.25,2,2,0,33,0.0092,54.6166
generation_000,task_017,DB,0,false,false,1,4,1,3,0.25,3,3,0,43,0.0123,66.2101
generation_000,task_018,DB,0,false,false,1,8,1,7,0.125,5,3,0,43,0.0147,63.1368
generation_000,task_018,DB,0,false,false,1,8,1,7,0.125,4,7,0,53,0.0176,68.4705
generation_000,task_018,DB,0,false,false,1,8,1,7,0.125,6,0,1,34,0.0191,68.101
generation_000,task_019,DB,1,true,true,1,6,1,5,0.1667,3,8,0,58,0.0173,85.5526
generation_000,task_019,DB,1,true,true,1,6,1,5,0.1667,4,8,0,56,0.0176,81.5226
generation_000,task_019,DB,0,false,false,1,6,1,5,0.1667,5,6,0,55,0.019,78.7384
generation_000,task_021,DB,0,false,false,1,4,1,3,0.25,3,0,1,25,0.0095,43.1852
generation_000,task_021,DB,0,false,false,1,4,1,3,0.25,1,4,0,35,0.0075,56.5521
generation_000,task_021,DB,0,false,false,1,4,1,3,0.25,3,1,0,31,0.0103,44.3745
generation_000,task_022,DB,0,false,false,1,12,1,11,0.0833,4,5,0,48,0.018,66.8262
generation_000,task_022,DB,0,false,false,1,12,1,11,0.0833,6,18,0,85,0.0325,101.4306
generation_000,task_022,DB,0,false,false,1,12,1,11,0.0833,7,13,0,75,0.0325,94.5059
generation_000,task_025,DB,0,false,false,0,1,0,1,0,5,0,0,20,0.0106,38.0613
generation_000,task_025,DB,0,false,false,0,1,0,1,0,6,0,0,22,0.0129,39.3832
generation_000,task_025,DB,0,false,false,0,1,0,1,0,10,0,0,24,0.016,34.7766
generation_000,task_031,DB,1,true,true,2,5,1,3,0.4,2,3,0,31,0.0113,50.9658
generation_000,task_031,DB,1,true,true,2,5,1,3,0.4,2,5,0,34,0.012,51.2466
generation_000,task_031,DB,1,true,true,2,5,1,3,0.4,2,3,0,30,0.0114,43.8848
generation_000,task_033,ACTION,0,false,,2,5,1,2,0.4,2,2,0,16,0.0059,22.5396
generation_000,task_033,ACTION,0,false,,2,5,1,2,0.4,2,2,0,18,0.0061,25.7553
