generation,task_id,reward_basis,reward,passed,db_match,actions_matched,actions_total,writes_matched,writes_total,partial_action_reward,kb_search_calls,discoverable_ops,transfers,messages,cost_usd,duration_seconds
batch_01,task_001,DB,1,true,true,1,1,1,1,1,4,0,0,16,0,46.4486
batch_01,task_001,DB,1,true,true,1,1,1,1,1,5,0,0,16,0,48.7646
batch_01,task_001,DB,0,false,false,0,1,0,1,0,5,0,0,22,0,51.9216
batch_01,task_002,DB,0,false,false,0,1,0,1,0,5,0,0,18,0,47.8887
batch_01,task_002,DB,0,false,false,0,1,0,1,0,5,0,0,18,0,37.4102
batch_01,task_002,DB,0,false,false,0,1,0,1,0,5,0,0,22,0,44.0386
batch_01,task_003,DB,0,false,false,0,0,0,0,,0,0,0,0,0,0
batch_01,task_003,DB,0,false,false,0,1,0,1,0,1,0,0,8,0,24.4765
batch_01,task_003,DB,0,false,false,0,1,0,1,0,4,0,0,14,0,24.6494
batch_01,task_004,ACTION,0,false,,0,1,0,0,0,1,0,1,20,0,40.4878
batch_01,task_004,ACTION,0,false,,0,1,0,0,0,1,0,1,18,0,39.9261
batch_01,task_004,ACTION,1,true,,1,1,0,0,1,1,0,1,18,0,42.485
batch_01,task_005,DB,1,true,true,3,3,2,2,1,2,0,1,32,0,63.1875
batch_01,task_005,DB,1,true,true,3,3,2,2,1,1,0,1,30,0,59.8716
batch_01,task_005,DB,1,true,true,3,3,2,2,1,1,0,1,30,0,64.2152
batch_01,task_006,DB,1,true,true,1,1,1,1,1,7,0,0,20,0,35.9479
batch_01,task_006,DB,1,true,true,1,1,1,1,1,3,0,0,14,0,35.4223
batch_01,task_006,DB,0,false,false,0,1,0,1,0,4,0,0,12,0,33.1342
batch_01,task_008,ACTION,1,true,,1,1,0,0,1,5,0,1,22,0,58.1089
batch_01,task_008,ACTION,0,false,,0,1,0,0,0,5,0,1,24,0,54.874
batch_01,task_008,ACTION,0,false,,0,1,0,0,0,7,0,1,32,0,81.3764
batch_01,task_010,DB,0,false,false,1,2,1,2,0.5,2,0,0,22,0,52.497
batch_01,task_010,DB,1,true,true,2,2,2,2,1,3,0,0,30,0,61.903
batch_01,task_010,DB,0,false,false,1,2,1,2,0.5,4,0,0,26,0,59.2859
batch_01,task_014,ACTION,1,true,,1,1,0,0,1,4,0,1,20,0,45.6195
batch_01,task_014,ACTION,1,true,,1,1,0,0,1,3,0,2,20,0,44.4738
batch_01,task_014,ACTION,0,false,,0,1,0,0,0,4,0,1,20,0,43.1149
batch_01,task_015,DB,1,true,true,0,2,0,1,0,5,1,0,40,0,95.4356
batch_01,task_015,DB,0,false,false,0,2,0,1,0,2,2,0,22,0,43.8333
batch_01,task_015,DB,0,false,false,0,2,0,1,0,3,0,1,26,0,64.5676
batch_01,task_023,DB,1,true,true,2,2,2,2,1,3,0,0,26,0,58.7914
batch_01,task_023,DB,1,true,true,2,2,2,2,1,3,0,0,28,0,56.9927
batch_01,task_023,DB,0,false,false,1,2,1,2,0.5,3,0,0,28,0,63.8295
batch_01,task_024,DB,1,true,true,1,1,1,1,1,3,0,0,16,0,49.1508
batch_01,task_024,DB,1,true,true,1,1,1,1,1,2,0,0,14,0,34.8376
batch_01,task_024,DB,0,false,false,0,1,0,1,0,2,0,0,14,0,44.8589
batch_01,task_029,DB,0,false,false,1,8,1,7,0.125,7,4,1,52,0,108.7293
batch_01,task_029,DB,0,false,false,1,8,1,7,0.125,4,4,0,42,0,79.7321
batch_01,task_029,DB,0,false,false,1,8,1,7,0.125,5,6,0,64,0,115.4865
batch_01,task_032,ACTION,1,true,,5,5,3,3,1,2,2,1,24,0,62.9718
batch_01,task_032,ACTION,0,false,,1,5,0,3,0.2,1,0,1,10,0,23.0098
batch_01,task_032,ACTION,1,true,,5,5,3,3,1,1,4,1,24,0,50.1024
batch_01,task_037,DB,1,true,true,3,8,1,5,0.375,3,6,0,50,0,106.1239
batch_01,task_037,DB,1,true,true,3,8,1,5,0.375,3,6,0,48,0,103.0152
batch_01,task_037,DB,1,true,true,3,8,1,5,0.375,4,6,0,54,0,103.0332
batch_01,task_046,DB,0,false,false,2,3,1,2,0.6667,6,10,0,52,0,80.1258
batch_01,task_046,DB,0,false,false,1,3,1,2,0.3333,4,8,0,42,0,69.7117
batch_01,task_046,DB,0,false,false,1,3,1,2,0.3333,4,10,0,44,0,66.7519
batch_01,task_055,DB,0,false,false,2,8,1,5,0.25,5,5,0,48,0,107.2394
batch_01,task_055,DB,0,false,false,2,8,1,5,0.25,12,5,0,62,0,128.6813
batch_01,task_055,DB,0,false,false,0,8,0,5,0,11,0,1,40,0,101.8436
batch_01,task_056,DB,0,false,false,4,8,1,5,0.5,10,7,0,58,0,123.843
batch_01,task_056,DB,0,false,false,4,8,1,5,0.5,14,7,0,68,0,138.2442
batch_01,task_056,DB,0,false,false,4,8,1,5,0.5,10,7,0,60,0,117.4684
batch_01,task_057,DB,0,false,false,2,7,1,4,0.2857,8,5,0,60,0,142.4002
batch_01,task_057,DB,1,true,true,3,7,1,4,0.4286,7,9,0,64,0,120.4996
batch_01,task_057,DB,1,true,true,3,7,1,4,0.4286,7,10,0,72,0,137.5135
batch_01,task_058,DB,0,false,false,3,4,2,3,0.75,26,2,0,82,0,162.1911
batch_01,task_058,DB,0,false,false,2,4,1,3,0.5,13,2,0,58,0,148.8563
batch_01,task_058,DB,0,false,false,3,4,2,3,0.75,20,2,0,64,0,105.1812
batch_01,task_060,DB,0,false,false,4,7,1,4,0.5714,8,6,0,46,0,95.197
batch_01,task_060,DB,0,false,false,3,7,1,4,0.4286,2,6,0,30,0,49.8978
batch_01,task_060,DB,0,false,false,3,7,1,4,0.4286,6,6,0,40,0,71.7723
batch_01,task_061,DB,0,false,false,3,9,1,5,0.3333,5,6,1,44,0,89.6021
batch_01,task_061,DB,0,false,false,3,9,1,5,0.3333,9,10,0,58,0,89.7924
batch_01,task_061,DB,0,false,false,4,9,1,5,0.4444,13,11,0,76,0,126.2869
batch_01,task_063,DB,0,false,false,2,4,1,3,0.5,23,2,1,70,0,99.0656
batch_01,task_063,DB,0,false,false,0,4,0,3,0,9,0,0,36,0,98.2858
batch_01,task_063,DB,0,false,false,3,4,2,3,0.75,18,6,0,76,0,151.3691
batch_01,task_065,DB,0,false,false,3,6,1,4,0.5,10,10,0,74,0,149.2619
batch_01,task_065,DB,0,false,false,3,6,1,4,0.5,6,9,0,74,0,153.2799
batch_01,task_065,DB,0,false,false,3,6,1,4,0.5,7,8,0,44,0,83.6023
batch_01,task_076,DB,1,true,true,2,3,1,2,0.6667,5,4,0,34,0,56.0192
batch_01,task_076,DB,0,false,false,0,3,0,2,0,5,0,0,18,0,64.2837
batch_01,task_076,DB,1,true,true,2,3,1,2,0.6667,6,4,0,36,0,64.7597
batch_01,task_094,DB,0,false,false,5,9,1,5,0.5556,3,8,0,38,0,60.672
batch_01,task_094,DB,0,false,false,5,9,1,5,0.5556,7,8,0,48,0,82.106
batch_01,task_094,DB,0,false,false,5,9,1,5,0.5556,5,8,0,40,0,60.3159
batch_02,task_001,DB,1,true,true,1,1,1,1,1,4,0,0,16,0,44.6012
batch_02,task_001,DB,0,false,false,0,1,0,1,0,4,0,0,16,0,33.5708
batch_02,task_001,DB,1,true,true,1,1,1,1,1,8,0,0,26,0,46.3242
batch_02,task_002,DB,0,false,false,0,1,0,1,0,8,0,0,28,0,62.2775
batch_02,task_002,DB,0,false,false,0,1,0,1,0,10,0,0,30,0,68.5572
batch_02,task_002,DB,1,true,true,1,1,1,1,1,11,0,0,30,0,46.0469
batch_02,task_003,DB,0,false,false,0,0,0,0,,0,0,0,0,0,0
batch_02,task_003,DB,0,false,false,0,1,0,1,0,2,0,0,10,0,26.5061
batch_02,task_003,DB,0,false,false,0,1,0,1,0,6,0,0,20,0,41.2541
batch_02,task_004,ACTION,1,true,,1,1,0,0,1,1,0,1,16,0,35.7422
batch_02,task_004,ACTION,0,false,,0,1,0,0,0,1,0,1,18,0,34.8785
batch_02,task_004,ACTION,1,true,,1,1,0,0,1,1,0,1,16,0,35.0542
batch_02,task_005,DB,1,true,true,3,3,2,2,1,2,0,1,30,0,54.1185
batch_02,task_005,DB,0,false,false,1,3,0,2,0.3333,3,0,2,30,0,52.0953
batch_02,task_005,DB,0,false,false,2,3,1,2,0.6667,1,0,1,26,0,59.294
batch_02,task_006,DB,1,true,true,1,1,1,1,1,5,0,0,18,0,40.5893
batch_02,task_006,DB,1,true,true,1,1,1,1,1,8,0,0,22,0,36.628
batch_02,task_006,DB,1,true,true,1,1,1,1,1,7,0,0,22,0,48.0601
batch_02,task_008,ACTION,1,true,,1,1,0,0,1,4,0,2,32,0,81.3037
batch_02,task_008,ACTION,1,true,,1,1,0,0,1,5,0,1,22,0,48.2332
batch_02,task_008,ACTION,0,false,,0,1,0,0,0,4,0,1,18,0,39.8264
batch_02,task_010,DB,0,false,false,1,2,1,2,0.5,2,0,1,22,0,44.9348
batch_02,task_010,DB,1,true,true,2,2,2,2,1,3,0,0,30,0,63.937
batch_02,task_010,DB,1,true,true,2,2,2,2,1,3,0,0,32,0,69.9832
batch_02,task_014,ACTION,0,false,,0,1,0,0,0,4,0,1,22,0,50.767
batch_02,task_014,ACTION,0,false,,0,1,0,0,0,3,0,1,16,0,37.6885
batch_02,task_014,ACTION,0,false,,0,1,0,0,0,3,0,1,16,0,33.3855
batch_02,task_015,DB,0,false,false,0,2,0,1,0,2,0,1,32,0,66.64
batch_02,task_015,DB,0,false,false,0,2,0,1,0,1,0,0,12,0,32.6325
batch_02,task_015,DB,1,true,true,0,2,0,1,0,6,3,0,40,0,78.798
batch_02,task_023,DB,0,false,false,1,2,1,2,0.5,4,0,0,32,0,71.0484
batch_02,task_023,DB,1,true,true,2,2,2,2,1,3,0,0,28,0,59.6357
batch_02,task_023,DB,0,false,false,1,2,1,2,0.5,2,0,0,28,0,54.3434
batch_02,task_024,DB,1,true,true,1,1,1,1,1,3,0,0,20,0,56.7414
batch_02,task_024,DB,0,false,false,0,1,0,1,0,2,0,0,16,0,49.1144
batch_02,task_024,DB,1,true,true,1,1,1,1,1,2,0,0,16,0,50.13
batch_02,task_029,DB,0,false,false,1,8,1,7,0.125,6,13,0,84,0,110.7566
batch_02,task_029,DB,0,false,false,1,8,1,7,0.125,9,8,0,68,0,107.6738
batch_02,task_029,DB,1,true,true,1,8,1,7,0.125,6,9,0,78,0,123.8657
batch_02,task_032,ACTION,1,true,,5,5,3,3,1,2,2,1,22,0,46.2794
batch_02,task_032,ACTION,1,true,,5,5,3,3,1,1,4,1,24,0,48.5397
batch_02,task_032,ACTION,0,false,,1,5,0,3,0.2,1,0,1,10,0,21.9072
batch_02,task_037,DB,1,true,true,3,8,1,5,0.375,3,8,0,52,0,89.344
batch_02,task_037,DB,0,false,false,1,8,1,5,0.125,2,0,1,30,0,60.0856
batch_02,task_037,DB,1,true,true,3,8,1,5,0.375,3,6,0,48,0,81.5968
batch_02,task_046,DB,0,false,false,2,3,1,2,0.6667,5,10,0,52,0,77.2407
batch_02,task_046,DB,0,false,false,1,3,1,2,0.3333,3,8,0,40,0,68.3781
batch_02,task_046,DB,0,false,false,1,3,1,2,0.3333,3,8,0,40,0,65.168
batch_02,task_055,DB,0,false,false,3,8,1,5,0.375,13,8,0,76,0,138.2386
batch_02,task_055,DB,0,false,false,2,8,1,5,0.25,7,4,0,54,0,112.7495
batch_02,task_055,DB,0,false,false,2,8,1,5,0.25,10,5,0,64,0,144.1723
batch_02,task_056,DB,0,false,false,4,8,1,5,0.5,11,7,0,58,0,122.0372
batch_02,task_056,DB,0,false,false,4,8,1,5,0.5,10,7,0,60,0,128.5878
batch_02,task_056,DB,0,false,false,0,8,0,5,0,4,0,0,14,0,34.158
batch_02,task_057,DB,0,false,false,3,7,1,4,0.4286,6,8,0,62,0,131.2602
batch_02,task_057,DB,1,true,true,3,7,1,4,0.4286,11,10,0,78,0,140.8749
batch_02,task_057,DB,0,false,false,3,7,1,4,0.4286,17,7,0,80,0,133.3982
batch_02,task_058,DB,0,false,false,1,4,1,3,0.25,25,0,0,66,0,109.2428
batch_02,task_058,DB,0,false,false,1,4,1,3,0.25,12,0,0,36,0,70.4628
batch_02,task_058,DB,0,false,false,0,4,0,3,0,18,0,1,50,0,79.3441
batch_02,task_060,DB,0,false,false,4,7,1,4,0.5714,5,7,0,46,0,87.6264
batch_02,task_060,DB,0,false,false,3,7,1,4,0.4286,2,6,0,28,0,48.1057
batch_02,task_060,DB,0,false,false,3,7,1,4,0.4286,9,6,0,48,0,105.9538
batch_02,task_061,DB,0,false,false,3,9,1,5,0.3333,3,9,0,44,0,63.9418
batch_02,task_061,DB,0,false,false,3,9,1,5,0.3333,6,10,0,52,0,86.1087
batch_02,task_061,DB,0,false,false,4,9,1,5,0.4444,6,8,0,60,0,116.6709
batch_02,task_063,DB,1,true,true,3,4,2,3,0.75,32,4,0,96,0,147.0386
batch_02,task_063,DB,0,false,false,0,4,0,3,0,14,0,0,42,0,90.0791
batch_02,task_063,DB,1,true,true,3,4,2,3,0.75,14,4,0,62,0,130.9441
batch_02,task_065,DB,0,false,false,3,6,1,4,0.5,7,11,0,64,0,118.4404
batch_02,task_065,DB,0,false,false,3,6,1,4,0.5,8,9,0,48,0,69.5624
batch_02,task_065,DB,0,false,false,3,6,1,4,0.5,8,7,0,44,0,73.9943
batch_02,task_076,DB,1,true,true,2,3,1,2,0.6667,5,2,0,30,0,62.0293
batch_02,task_076,DB,1,true,true,2,3,1,2,0.6667,3,2,0,22,0,42.5008
batch_02,task_076,DB,1,true,true,2,3,1,2,0.6667,3,4,0,28,0,41.6654
batch_02,task_094,DB,0,false,false,5,9,1,5,0.5556,5,9,0,46,0,66.86
batch_02,task_094,DB,0,false,false,5,9,1,5,0.5556,6,8,0,46,0,74.4797
batch_02,task_094,DB,0,false,false,5,9,1,5,0.5556,7,8,0,50,0,67.4575
batch_03,task_001,DB,1,true,true,1,1,1,1,1,8,0,0,26,0,37.871
batch_03,task_001,DB,1,true,true,1,1,1,1,1,7,0,0,24,0,47.2845
batch_03,task_001,DB,0,false,false,0,1,0,1,0,8,0,0,24,0,44.9045
batch_03,task_002,DB,1,true,true,1,1,1,1,1,3,0,0,12,0,25.605
batch_03,task_002,DB,0,false,false,0,1,0,1,0,8,0,0,22,0,42.979
batch_03,task_002,DB,1,true,true,1,1,1,1,1,6,0,0,20,0,30.4321
batch_03,task_003,DB,0,false,false,0,1,0,1,0,1,0,0,8,0,21.6354
