generation,task_id,reward_basis,reward,passed,db_match,actions_matched,actions_total,writes_matched,writes_total,partial_action_reward,kb_search_calls,discoverable_ops,transfers,messages,cost_usd,duration_seconds
generation_000,task_007,DB,0,false,false,0,1,0,1,0,3,0,0,10,0.005,39.0143
generation_000,task_007,DB,0,false,false,0,1,0,1,0,3,0,0,10,0.0052,16.8404
generation_000,task_007,DB,0,false,false,0,1,0,1,0,3,0,0,12,0.0051,22.0385
generation_000,task_012,ACTION,0,false,,0,1,0,0,0,3,0,0,12,0.0057,16.4191
generation_000,task_012,ACTION,0,false,,0,1,0,0,0,2,0,0,8,0.0034,11.5136
generation_000,task_012,ACTION,1,true,,1,1,0,0,1,2,0,1,12,0.0038,17.3405
generation_000,task_016,DB,1,true,true,2,2,2,2,1,2,0,0,22,0.0061,33.6987
generation_000,task_016,DB,1,true,true,2,2,2,2,1,2,0,1,24,0.0062,39.4098
generation_000,task_016,DB,0,false,false,1,2,1,2,0.5,2,0,0,23,0.0064,43.7665
generation_000,task_017,DB,0,false,false,1,4,1,3,0.25,3,6,0,47,0.012,65.866
generation_000,task_017,DB,0,false,false,1,4,1,3,0.25,3,3,0,41,0.0106,66.1693
generation_000,task_017,DB,0,false,false,1,4,1,3,0.25,2,1,0,29,0.0073,52.1316
generation_000,task_018,DB,0,false,false,1,8,1,7,0.125,4,5,0,51,0.0165,76.0658
generation_000,task_018,DB,0,false,false,1,8,1,7,0.125,5,1,1,33,0.0153,66.3559
generation_000,task_018,DB,0,false,false,1,8,1,7,0.125,5,1,0,31,0.0123,56.3068
generation_000,task_019,DB,0,false,false,1,6,1,5,0.1667,2,0,1,25,0.0071,39.3288
generation_000,task_019,DB,0,false,false,1,6,1,5,0.1667,4,3,0,41,0.0129,79.1051
generation_000,task_019,DB,0,false,false,1,6,1,5,0.1667,3,1,0,29,0.0095,78.8737
generation_000,task_021,DB,0,false,false,1,4,1,3,0.25,2,4,0,41,0.0097,54.4263
generation_000,task_021,DB,0,false,false,1,4,1,3,0.25,3,4,0,38,0.0108,56.0617
generation_000,task_021,DB,0,false,false,1,4,1,3,0.25,2,2,0,34,0.0081,47.8305
generation_000,task_022,DB,0,false,false,1,12,1,11,0.0833,3,6,0,59,0.0207,102.76
generation_000,task_022,DB,0,false,false,1,12,1,11,0.0833,3,6,0,47,0.0151,73.296
generation_000,task_022,DB,0,false,false,1,12,1,11,0.0833,6,0,1,33,0.0164,74.653
generation_000,task_025,DB,1,true,true,1,1,1,1,1,8,0,0,28,0.0154,63.9374
generation_000,task_025,DB,1,true,true,1,1,1,1,1,5,0,0,22,0.0113,53.6316
generation_000,task_025,DB,0,false,false,0,1,0,1,0,3,0,0,16,0.0076,41.1475
generation_000,task_031,DB,1,true,true,2,5,1,3,0.4,2,3,0,32,0.0122,51.1901
generation_000,task_031,DB,0,false,false,1,5,1,3,0.2,2,0,1,25,0.0102,47.2596
generation_000,task_031,DB,1,true,true,2,5,1,3,0.4,2,3,0,31,0.012,57.7013
generation_000,task_033,ACTION,0,false,,2,5,1,2,0.4,2,2,0,18,0.0054,31.0794
generation_000,task_033,ACTION,0,false,,2,5,1,2,0.4,2,2,0,14,0.0043,23.3285
generation_000,task_033,ACTION,0,false,,2,5,1,2,0.4,2,2,0,16,0.0049,25.6069
generation_000,task_035,ACTION,1,true,,3,3,1,1,1,1,2,1,12,0.004,16.6243
generation_000,task_035,ACTION,1,true,,3,3,1,1,1,1,2,1,14,0.0042,30.7724
generation_000,task_035,ACTION,1,true,,3,3,1,1,1,2,2,1,16,0.0064,25.9125
generation_000,task_036,DB,1,true,true,2,3,1,2,0.6667,2,2,0,29,0.0101,51.4792
generation_000,task_036,DB,1,true,true,2,3,1,2,0.6667,2,2,0,29,0.0104,59.139
generation_000,task_036,DB,1,true,true,2,3,1,2,0.6667,1,2,0,25,0.0091,42.611
generation_000,task_039,DB,0,false,false,1,16,1,12,0.0625,2,1,0,27,0.0127,50.8523
generation_000,task_039,DB,0,false,false,1,16,1,12,0.0625,3,0,0,25,0.0138,67.612
generation_000,task_039,DB,0,false,false,1,16,1,12,0.0625,3,0,1,31,0.0151,66.1022
generation_000,task_044,DB,0,false,false,4,10,1,6,0.4,2,8,0,39,0.0111,58.2655
generation_000,task_044,DB,0,false,false,4,10,1,6,0.4,3,8,0,38,0.0127,45.8305
generation_000,task_044,DB,0,false,false,4,10,1,6,0.4,4,8,0,41,0.0163,68.9644
generation_000,task_048,DB,0,false,false,7,24,1,16,0.2917,10,17,0,87,0.0401,180.5197
generation_000,task_048,DB,0,false,false,4,24,1,16,0.1667,2,8,0,36,0.0105,59.0389
generation_000,task_048,DB,0,false,false,8,24,1,16,0.3333,5,22,0,81,0.0333,157.5772
generation_000,task_049,DB,0,false,false,7,19,2,12,0.3684,8,21,0,97,0.0492,162.2414
generation_000,task_049,DB,0,false,false,5,19,1,12,0.2632,6,19,0,75,0.0336,125.3926
generation_000,task_049,DB,0,false,false,5,19,1,12,0.2632,6,20,0,78,0.0336,117.6689
generation_000,task_051,DB,0,false,false,8,20,1,11,0.4,6,16,0,65,0.0277,105.7029
generation_000,task_051,DB,0,false,false,9,20,1,11,0.45,7,17,0,64,0.0288,101.4472
generation_000,task_051,DB,0,false,false,9,20,1,11,0.45,7,16,0,64,0.0261,90.7568
generation_000,task_052,DB,0,false,false,5,13,1,7,0.3846,10,8,0,61,0.0286,99.5645
generation_000,task_052,DB,1,true,true,7,13,1,7,0.5385,8,12,0,62,0.0276,119.5261
generation_000,task_052,DB,0,false,false,5,13,1,7,0.3846,6,8,0,56,0.0214,89.9143
generation_000,task_059,DB,0,false,false,3,6,2,4,0.5,12,2,0,36,0.0215,56.015
generation_000,task_059,DB,0,false,false,3,6,1,4,0.5,10,4,0,41,0.0244,81.8318
generation_000,task_059,DB,0,false,false,2,6,1,4,0.3333,7,2,0,33,0.0168,58.2311
generation_000,task_067,DB,0,false,false,4,9,1,6,0.4444,6,9,0,42,0.0199,77.129
generation_000,task_067,DB,0,false,false,0,9,0,6,0,9,0,1,38,0.0206,76.7135
generation_000,task_067,DB,0,false,false,4,9,1,6,0.4444,14,10,0,63,0.0394,130.5314
generation_000,task_068,DB,0,false,false,4,7,2,5,0.5714,11,9,0,60,0.0348,109.6762
generation_000,task_068,DB,0,false,false,4,7,2,5,0.5714,12,8,0,74,0.0423,172.599
generation_000,task_068,DB,0,false,false,4,7,2,5,0.5714,13,9,0,70,0.0408,145.401
